Độ pH của đất, Lượng mưa trung bình hàng năm (milimét), Nhiệt độ trung bình hàng năm (độ C), Số giờ nắng trung bình mỗi ngày, Lớp mục tiêu 
4.43,1545,22.5,4.7,Crop_C_Suitable 
7.25,1954,14.0,9.0,Crop_A_Suitable
5.33,1502,21.6,4.3,Crop_C_Suitable
7.71,1881,16.0,9.2,Crop_A_Suitable
5.21,452,26.8,7.4,Not_Suitable
8.04,974,20.3,4.0,Crop_B_Suitable
5.03,1703,19.3,4.0,Crop_C_Suitable
5.35,566,30.4,6.4,Not_Suitable
7.52,904,18.0,4.4,Crop_B_Suitable
5.14,1226,21.8,4.9,Crop_C_Suitable
7.23,2091,9.2,9.1,Crop_A_Suitable
4.63,601,30.1,6.0,Not_Suitable
6.88,2005,11.6,9.3,Crop_A_Suitable
5.39,509,29.2,6.5,Not_Suitable
6.89,1068,15.9,3.7,Crop_B_Suitable
7.84,1067,20.0,3.2,Crop_B_Suitable
7.65,2078,17.3,8.9,Crop_A_Suitable
5.31,1583,23.8,4.6,Crop_C_Suitable
7.25,932,17.8,3.4,Crop_B_Suitable
7.26,935,17.5,3.5,Crop_B_Suitable
4.94,733,32.7,6.3,Not_Suitable
4.58,572,24.7,5.8,Not_Suitable
4.69,454,26.2,6.6,Not_Suitable
5.15,741,35.0,6.7,Not_Suitable
5.09,630,25.0,7.4,Not_Suitable
5.07,1462,20.9,4.3,Crop_C_Suitable
7.65,1080,24.0,4.6,Crop_B_Suitable
5.5,664,27.5,6.9,Not_Suitable
6.82,859,18.4,3.8,Crop_B_Suitable
7.49,959,18.8,3.7,Crop_B_Suitable
7.03,946,19.0,4.5,Crop_B_Suitable
7.63,2078,17.4,8.8,Crop_A_Suitable
5.17,709,31.2,5.8,Not_Suitable
7.16,2156,8.1,9.7,Crop_A_Suitable
7.13,2310,13.0,9.7,Crop_A_Suitable
5.44,460,23.1,6.7,Not_Suitable
5.18,423,28.3,6.6,Not_Suitable
7.36,2092,13.9,8.5,Crop_A_Suitable
7.39,918,17.5,3.4,Crop_B_Suitable
7.33,2177,11.8,8.8,Crop_A_Suitable
4.11,777,25.1,6.4,Not_Suitable
7.66,2183,12.4,9.3,Crop_A_Suitable
4.54,1523,22.1,5.1,Crop_C_Suitable
4.75,1755,22.5,4.5,Crop_C_Suitable
4.11,1418,22.7,5.0,Crop_C_Suitable
4.46,1526,19.2,4.6,Crop_C_Suitable
4.66,670,27.3,5.8,Not_Suitable
5.61,825,22.9,7.1,Not_Suitable
7.43,2021,16.0,10.0,Crop_A_Suitable
4.98,651,30.4,6.3,Not_Suitable
5.07,1683,21.1,4.3,Crop_C_Suitable
7.82,1081,20.5,3.9,Crop_B_Suitable
5.03,482,25.3,6.5,Not_Suitable
5.51,1616,23.0,4.6,Crop_C_Suitable
7.69,2238,8.9,9.1,Crop_A_Suitable
7.53,2240,10.5,9.1,Crop_A_Suitable
7.16,1089,18.9,3.7,Crop_B_Suitable
7.24,1022,22.2,4.1,Crop_B_Suitable
4.86,1523,26.6,5.1,Crop_C_Suitable
7.45,2161,11.6,9.7,Crop_A_Suitable
7.92,1021,24.1,4.2,Crop_B_Suitable
4.53,607,25.3,6.1,Not_Suitable
6.82,1037,22.6,3.9,Crop_B_Suitable
6.65,2412,11.3,8.5,Crop_A_Suitable
7.2,704,17.8,4.8,Crop_B_Suitable
4.25,1596,24.8,5.1,Crop_C_Suitable
7.78,2103,14.2,8.8,Crop_A_Suitable
4.82,608,28.1,6.7,Not_Suitable
8.01,802,22.7,3.9,Crop_B_Suitable
4.86,1802,23.1,4.9,Crop_C_Suitable
5.13,418,29.5,6.7,Not_Suitable
7.19,888,16.8,3.4,Crop_B_Suitable
7.59,2019,12.8,9.4,Crop_A_Suitable
7.42,1078,18.3,3.9,Crop_B_Suitable
4.72,466,29.0,6.8,Not_Suitable
6.99,882,16.4,3.7,Crop_B_Suitable
5.32,1484,20.1,3.6,Crop_C_Suitable
4.35,475,28.0,6.5,Not_Suitable
4.83,1441,21.9,4.3,Crop_C_Suitable
7.44,1085,21.4,3.6,Crop_B_Suitable
7.17,1098,19.4,3.2,Crop_B_Suitable
7.74,2234,13.6,9.5,Crop_A_Suitable
6.94,836,22.2,4.0,Crop_B_Suitable
5.4,491,27.4,6.5,Not_Suitable
5.08,1472,20.1,4.1,Crop_C_Suitable
7.07,2041,5.0,9.8,Crop_A_Suitable
4.83,1319,22.3,3.9,Crop_C_Suitable
7.21,2214,10.0,9.0,Crop_A_Suitable
5.13,1538,20.9,4.2,Crop_C_Suitable
4.82,1446,21.1,4.6,Crop_C_Suitable
4.47,1406,20.0,4.4,Crop_C_Suitable
4.66,1503,23.3,4.9,Crop_C_Suitable
4.77,1574,23.4,4.5,Crop_C_Suitable
4.18,1545,22.6,4.4,Crop_C_Suitable
5.25,1581,23.9,4.7,Crop_C_Suitable
5.42,1595,24.9,5.0,Crop_C_Suitable
5.16,1448,20.9,4.4,Crop_C_Suitable
7.61,860,19.4,4.2,Crop_B_Suitable
4.63,1588,18.0,4.7,Crop_C_Suitable
7.68,2143,10.9,8.7,Crop_A_Suitable
6.98,1004,17.5,4.2,Crop_B_Suitable
4.5,1660,19.8,4.8,Crop_C_Suitable
5.06,1453,18.1,4.3,Crop_C_Suitable
7.87,2018,10.2,8.8,Crop_A_Suitable
7.33,1107,20.4,3.5,Crop_B_Suitable
7.71,2068,13.2,9.3,Crop_A_Suitable
6.72,849,19.3,3.4,Crop_B_Suitable
7.42,1061,19.5,4.0,Crop_B_Suitable
7.43,2106,15.6,8.8,Crop_A_Suitable
5.43,753,21.7,5.8,Not_Suitable
7.52,1069,22.3,3.8,Crop_B_Suitable
7.42,802,16.6,4.1,Crop_B_Suitable
5.01,1788,18.7,5.1,Crop_C_Suitable
5.0,1352,18.9,4.8,Crop_C_Suitable
7.38,725,16.1,3.9,Crop_B_Suitable
4.64,1455,21.4,4.4,Crop_C_Suitable
7.79,2077,11.6,8.6,Crop_A_Suitable
4.88,771,27.5,6.5,Not_Suitable
7.29,1023,17.8,3.9,Crop_B_Suitable
4.95,598,27.4,6.3,Not_Suitable
6.9,2178,15.4,8.7,Crop_A_Suitable
4.97,477,27.7,6.0,Not_Suitable
7.6,2180,13.7,9.6,Crop_A_Suitable
5.16,1444,17.6,4.5,Crop_C_Suitable
4.74,1541,21.2,4.6,Crop_C_Suitable
4.52,1559,23.4,4.7,Crop_C_Suitable
7.52,2083,11.0,9.0,Crop_A_Suitable
5.45,748,29.7,5.5,Not_Suitable
5.32,1521,21.0,4.6,Crop_C_Suitable
8.5,2016,10.6,9.1,Crop_A_Suitable
5.0,1504,19.0,4.3,Crop_C_Suitable
7.34,2157,11.5,8.9,Crop_A_Suitable
4.65,1542,23.9,4.4,Crop_C_Suitable
7.02,1079,19.7,3.3,Crop_B_Suitable
4.86,549,25.4,6.4,Not_Suitable
4.9,1415,20.3,4.1,Crop_C_Suitable
7.55,2142,15.6,8.9,Crop_A_Suitable
